Post.id|Tag.id
1236950581248|52
1236950581248|205
1236950581248|3269
1236950581248|4144
1236950581248|7740
1236950581248|9541
3|52
3|132
3|188
3|2127
3|6888
3|8839
2061584302084|52
2061584302084|633
2061584302084|2300
2061584302084|3440
2061584302084|4997
2061584302084|7593
1649267441688|52
1649267441688|916
1786706395168|52
1786706395168|965
1786706395168|5650
1786706395168|6054
1236950581288|52
1236950581288|1072
1236950581288|5650
1236950581288|6515
1236950581288|6888
824633720888|52
824633720888|188
824633720888|4997
1786706395207|52
1786706395207|1580
1786706395207|1929
1786706395207|7603
1786706395207|8458
1786706395207|9411
1236950581328|52
1236950581328|1138
1236950581328|8128
824633720928|52
824633720928|2122
824633720928|6515
274877907075|52
274877907075|2122
274877907075|4144
1374389534855|52
1374389534855|216
1374389534855|2300
1374389534855|2940
1374389534855|4144
1374389534855|4841
1374389534855|5916
2061584302227|52
2061584302227|2698
2061584302227|3178
2061584302227|9541
274877907111|52
274877907111|916
274877907111|1138
1786706395304|52
1786706395304|810
1786706395304|1072
1786706395304|2668
1786706395304|2726
1786706395304|7740
137438953643|52
137438953643|188
137438953643|2127
137438953643|6817
1099511627955|52
1099511627955|2144
1099511627955|7658
1099511627955|7928
1099511627955|8458
1099511627955|8842
1924145348808|52
1924145348808|2144
1924145348817|52
1924145348817|965
1924145348817|2300
1924145348817|7570
1924145348817|9541
1649267441919|52
1649267441919|2300
1649267441919|2733
1649267441919|2738
1649267441919|6529
962072674562|52
962072674562|2010
962072674562|2675
962072674562|7593
687194767630|52
687194767630|965
687194767630|1929
687194767630|3198
687194767630|7599
687194767630|8842
137438953758|52
137438953758|1851
137438953758|2127
137438953758|7659
274877907233|52
274877907233|3440
274877907233|7928
1374389535010|52
1374389535010|965
1374389535010|2726
1374389535010|2738
1374389535010|3178
1374389535010|4158
1374389535010|4345
412316860718|52
412316860718|810
412316860718|2733
412316860718|6736
1786706395439|52
1786706395439|3198
1786706395439|6563
824633721136|52
824633721136|1759
824633721136|1885
824633721136|5650
824633721136|6054
824633721136|6529
824633721136|7751
1099511628086|52
1099511628086|1580
1099511628086|2300
1099511628086|2907
1099511628086|4111
1099511628086|7653
412316860735|52
412316860735|188
412316860735|2924
412316860735|6524
412316860735|9541
1374389535044|52
1374389535044|4158
1374389535044|7659
687194767699|52
687194767699|2698
687194767699|3198
412316860780|52
412316860780|2733
412316860780|2924
412316860780|2940
1374389535093|52
1374389535093|4997
1374389535093|8458
1236950581630|52
1236950581630|188
1236950581630|2010
1236950581631|52
1236950581631|2726
1236950581631|2733
1236950581631|2924
1236950581631|6563
1236950581631|7593
1236950581631|7653
1099511628173|52
1099511628173|2300
1099511628173|2668
1099511628173|2738
1099511628173|9541
2061584302494|52
2061584302494|163
2061584302494|633
2061584302494|7658
274877907367|52
274877907367|1138
274877907367|6524
1786706395566|52
1786706395566|960
1786706395566|2907
1786706395566|2924
1786706395566|4158
2061584302527|52
2061584302527|1991
2061584302527|2127
2061584302527|2940
2061584302527|3440
2061584302527|5650
2061584302527|7653
2061584302527|7659
1374389535177|52
1374389535177|633
1374389535177|1934
1374389535177|2675
1374389535177|7653
2061584302540|52
2061584302540|1138
2061584302540|3269
549755814351|52
549755814351|810
549755814351|893
549755814351|6515
549755814351|6529
549755814351|9411
1374389535204|52
1374389535204|163
1374389535204|1072
1374389535204|1851
1374389535204|2698
1374389535204|3269
1374389535204|6529
1374389535204|7653
549755814388|52
549755814388|6524
549755814388|7751
549755814388|8458
1374389535227|52
1374389535227|7740
1374389535227|8839
412316860937|52
412316860937|216
412316860937|1072
412316860937|4158
412316860937|7653
412316860937|7751
1511828488745|52
1511828488745|893
1511828488745|3055
962072674866|52
962072674866|916
962072674866|2733
962072674866|7751
962072674866|9411
1236950581829|52
1236950581829|697
1236950581829|3440
1236950581829|4345
2061584302676|52
2061584302676|483
2061584302676|1991
2061584302676|2733
2061584302676|8836
274877907546|52
274877907546|2010
274877907546|2726
274877907546|8839
1099511628397|52
1099511628397|1072
1099511628397|1885
1099511628397|2940
1099511628397|4345
1099511628397|5650
